Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_084.jpg;0;0;1;0;99.66999;85.589;0.0002377287;45.47428;1.548038E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_108.jpg;0;0;0;0;99.66999;85.589;0.0002379239;45.47428;1.916255E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_158.jpg;0;0;0;0;99.66999;85.589;0.000238081;45.47428;2.095886E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_209.jpg;1.025542;0;0;0;99.66999;85.589;0.0002375907;45.59734;2.042668E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_258.jpg;0;0;0;0;99.66999;85.589;0.0002371682;45.59752;2.964921E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_309.jpg;0;0;0;0;99.66999;85.589;0.0002363092;45.59752;3.939935E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_357.jpg;0;0;0;0;99.66999;85.589;0.0002361479;45.59752;4.335172E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_409.jpg;0;0;0;0;99.66999;85.589;0.0002354139;45.59752;4.439047E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_458.jpg;0;0;0;0;99.66999;85.589;0.0002350752;45.59752;4.704229E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_508.jpg;0;0;0;0;99.66999;85.589;0.00023444;45.59752;4.848431E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_558.jpg;0;0;0;0;99.66999;85.589;0.0002340629;45.59752;4.925079E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_609.jpg;0;0;0;0;99.66999;85.589;0.0002335668;45.59752;5.010787E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_658.jpg;0;0;0;0;99.66999;85.589;0.0002332886;45.59752;5.127754E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_708.jpg;0;0;0;0;99.66999;85.589;0.0002329115;45.59752;5.204389E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_759.jpg;0;0;0;0;99.66999;85.589;0.0002326735;45.59752;5.222556E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_808.jpg;0;0;0;0;99.66999;85.589;0.0002325344;45.59752;5.281036E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_857.jpg;0;0;0;0;99.66999;85.589;0.0002325344;45.59752;5.281036E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_909.jpg;0;0;0;0;99.66999;85.589;0.0002325344;45.59752;5.281036E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_56_958.jpg;0;0;0;0;99.66999;85.589;0.0002325747;45.59752;5.182229E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_008.jpg;0;0;0;0;99.66999;85.589;0.0002326352;45.59752;5.034015E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_058.jpg;0;0;0;0;99.66999;85.589;0.0002326957;45.59752;4.885801E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_108.jpg;0;0;0;0;99.66999;85.589;0.0002328167;45.59752;4.589372E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_158.jpg;0;0;0;0;99.66999;85.589;0.0002328973;45.59752;4.39175E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_208.jpg;0;0;0;0;99.66999;85.589;0.0002330788;45.59752;3.947107E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_257.jpg;0;0;0;0;99.66999;85.589;0.0002331998;45.59752;3.650678E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_308.jpg;0;0;0;0;99.66999;85.589;0.0002337362;45.59752;3.466143E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_358.jpg;0;0;0;0;99.66999;85.589;0.0002340548;45.59752;3.250367E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_408.jpg;0;0;0;0;99.66999;85.589;0.0002346113;45.59752;3.016431E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_458.jpg;0;0;0;0;99.66999;85.589;0.0002351275;45.59752;2.881316E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_509.jpg;0;0;0;0;99.66999;85.589;0.0002359019;45.59752;2.678634E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_558.jpg;0;0;0;0;99.66999;85.589;0.0002360995;45.59752;2.759281E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_608.jpg;0;0;0;0;99.66999;85.589;0.00023616;45.59752;2.611066E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_658.jpg;0;0;0;0;99.66999;85.589;0.0002362789;45.59752;2.601986E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_708.jpg;0;0;0;0;99.66999;85.589;0.0002364181;45.59752;2.543506E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_758.jpg;0;0;0;0;99.66999;85.589;0.0002364584;45.59752;2.444698E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_808.jpg;0;0;0;0;99.66999;85.589;0.0002367548;45.59752;2.565678E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_858.jpg;0;0;0;0;99.66999;85.589;0.0002366177;45.59752;2.33681E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_908.jpg;0;0;0;0;99.66999;85.589;0.0002369141;45.59752;2.457791E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_57_957.jpg;0;0;0;0;99.66999;85.589;0.0002369545;45.59752;2.358977E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_008.jpg;0;0;0;0;99.66999;85.589;0.0002370936;45.59752;2.300496E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_058.jpg;0;0;0;0;99.66999;85.589;0.0002371339;45.59752;2.201689E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_108.jpg;0;0.04906259;0;0;99.67007;85.58908;0.00289567;45.59752;2.185398E-06
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_157.jpg;0;0.1992925;0;0;99.67017;85.58917;0.00628507;45.55127;2.029463E-05
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_208.jpg;0;0.3483573;0;0;99.67129;85.59032;0.04089553;45.65594;1.320014E-05
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_258.jpg;0;0.4992118;0;0.03190824;99.67294;85.592;0.09002551;45.65453;-2.175125E-05
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_308.jpg;0;0.6468713;0;0.06405827;99.67669;85.59585;0.1984544;45.61806;0.0002831744
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_357.jpg;0;0.7993391;0;0.06577111;99.68002;85.59924;0.2899216;45.59486;0.0003256388
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_408.jpg;0;0.9479679;0;0.1137781;99.68697;85.60629;0.4677806;45.63173;-0.0009628086
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_457.jpg;0;1;0;0.1631862;99.69357;85.61298;0.6228113;45.6143;-0.0006862744
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_507.jpg;0;1;0;0.1866095;99.7045;85.62408;0.8480615;45.59813;-0.0002478883
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_557.jpg;0;1;0;0.2332717;99.71335;85.63312;1.017748;45.60705;-0.000364272
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_608.jpg;0;1;0;0.2847174;99.7281;85.64793;1.257635;45.37943;2.276389E-05
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_658.jpg;0;1;0;0.3122;99.73776;85.6577;1.323459;45.2209;0.0005062093
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_708.jpg;0;1;0;0.3729967;99.75185;85.67234;1.218643;45.27388;-0.003102621
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_758.jpg;0;1;0;0.3954245;99.76223;85.68288;1.12674;45.32886;-0.0007479703
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_808.jpg;0;1;0;0.4672686;99.78122;85.70184;1.075157;45.16934;-0.0003958738
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_857.jpg;0;1;0;0.4841894;99.7952;85.71585;1.069175;45.17017;-0.0004116973
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_908.jpg;0;1;0;0.5398165;99.8185;85.73925;1.108031;45.28225;0.0001578709
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_58_958.jpg;0;1;0;0.5705453;99.83543;85.75623;1.15728;45.28738;0.0005154375
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_008.jpg;0;1;0;0.6216789;99.86311;85.78394;1.250247;45.17231;-0.0002378593
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_057.jpg;0;1;0;0.6393527;99.88132;85.80222;1.239368;45.27071;-0.003398841
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_107.jpg;0;1;0;0.697431;99.91071;85.83167;1.213108;45.29987;-0.001062172
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_157.jpg;0;1;0;0.7304587;99.93145;85.85245;1.192985;45.23085;-0.0001213422
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_207.jpg;0;1;0;0.7800011;99.96474;85.88572;1.190971;45.16891;-0.0001124022
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_257.jpg;0;1;0;0.8176128;99.98834;85.9093;1.203355;45.13258;-0.0005023698
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_307.jpg;0;1;0;0.8709437;100.0256;85.94648;1.220709;45.12711;-0.0009186021
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_357.jpg;0;1;0;0.89182;100.0514;85.97222;1.222631;45.12857;-0.0009346948
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_407.jpg;0;1;0;0.9603184;100.0921;86.01279;1.226872;45.12321;-0.0008392117
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_457.jpg;0;1;0;0.9926543;100.1204;86.04095;1.223797;45.11867;-0.0008259743
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_507.jpg;0;1;0;1.035133;100.1643;86.08477;1.213454;45.13128;-0.001247777
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_557.jpg;0;1;0;1.063581;100.1947;86.11501;1.214348;45.10459;-0.0008104665
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_607.jpg;0;1;0;1.109582;100.2419;86.16202;1.217724;45.10116;-0.0008035825
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_658.jpg;0;1;0;1.143587;100.2745;86.19453;1.22076;45.09409;-0.0008068391
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_708.jpg;0;1;0;1.192657;100.3253;86.24506;1.228096;45.0584;-0.0005450195
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_757.jpg;0;1;0;1.222134;100.3601;86.27977;1.228346;45.04476;-0.0008595472
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_807.jpg;0;1;0;1.271926;100.4142;86.33355;1.230737;45.01591;-0.000706634
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_857.jpg;0;1;0;1.302677;100.4515;86.37056;1.236365;44.99905;-0.0008208276
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_908.jpg;0;1;0;1.347846;100.509;86.42762;1.238438;44.98159;-0.0007353509
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_13_59_957.jpg;0;1;0;1.380553;100.5485;86.46682;1.242788;44.96682;-0.0008118895
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_00_008.jpg;0;1;0;1.427408;100.6094;86.52715;1.243062;44.95689;-0.0009364898
